-5.000001000000000140e+00,-2.000000399999999789e+00,-4.000000800000000467e+00,-1.000000199999999673e+00,3.000000000000000000e+00
-5.000001000000000140e+00,-1.000000199999999673e+00,-4.000000800000000467e+00,8.881784197001252323e-16,4.000000000000000000e+00
-4.000000800000000467e+00,-3.000000599999999906e+00,-3.000000599999999906e+00,-2.000000399999999789e+00,1.200000000000000000e+01
-4.000000800000000467e+00,-2.000000399999999789e+00,-3.000000599999999906e+00,-1.000000199999999673e+00,1.300000000000000000e+01
-4.000000800000000467e+00,-1.000000199999999673e+00,-3.000000599999999906e+00,8.881784197001252323e-16,1.400000000000000000e+01
-2.000000399999999789e+00,-1.000000199999999673e+00,-1.000000199999999673e+00,8.881784197001252323e-16,3.400000000000000000e+01
-2.000000399999999789e+00,8.881784197001252323e-16,-1.000000199999999673e+00,1.000000200000000561e+00,3.500000000000000000e+01
1.000000200000000561e+00,2.000000400000000234e+00,2.000000400000000234e+00,3.000000600000000794e+00,6.700000000000000000e+01
1.000000200000000561e+00,3.000000600000000794e+00,2.000000400000000234e+00,4.000000800000001355e+00,6.800000000000000000e+01
2.000000400000000234e+00,3.000000600000000794e+00,3.000000600000000794e+00,4.000000800000001355e+00,7.800000000000000000e+01
2.000000400000000234e+00,4.000000800000001355e+00,3.000000600000000794e+00,5.000001000000000140e+00,7.900000000000000000e+01
3.000000600000000794e+00,3.000000600000000794e+00,4.000000800000001355e+00,4.000000800000001355e+00,8.800000000000000000e+01
3.000000600000000794e+00,4.000000800000001355e+00,4.000000800000001355e+00,5.000001000000000140e+00,8.900000000000000000e+01
