iteration,x,y,step_size,counts
0,8.772282558553673,-8.774669338639594,3.0637201906347107,12
1,7.230319062549681,-9.007715217870722,2.9018042841410554,11
2,6.056766670848326,-8.527354313052845,1.0625337016336678,11
3,6.430513844378496,-8.911391344196854,0.33124134674266914,6
4,6.268598279139554,-8.915528533799034,3.1215753351341133,10
5,5.53959817071529,-8.130005026717598,3.513057487180527,7
6,6.801786797831896,-6.863904965881506,2.7992701051364626,5
7,6.64036241245638,-5.446250729395533,2.4959689699871426,14
8,6.703636674310928,-4.160037316407846,2.3502958971929573,11
9,5.630371810159945,-4.087786391711744,3.3175228426172616,17
10,6.934992507598222,-5.1735921160267235,3.523893566741044,12
11,8.642815356910308,-5.746137201448752,2.649390328513933,11
12,8.747178277382918,-4.415341768643899,1.9382955745158164,12
13,8.745008781654175,-4.715895002922425,3.05212904216804,9
14,7.921078692426948,-3.389964991901224,3.5052695068549973,11
15,8.954975576133211,-4.279719434860446,0.06379278836547542,10
16,8.982991106639759,-4.260814652244534,1.8852923200978662,5
17,8.994826183577704,-3.308210278909769,3.50836991679766,10
18,8.072183530737531,-4.843082479231313,0.09992742887302208,17
19,8.097150644372071,-4.869870137978812,1.3730656057875223,9
20,8.47881382250105,-4.2841698988435315,2.885442965160265,9
21,8.373562896787005,-5.756164885371948,3.9042843677429753,6
22,8.36253589070674,-3.7742361232549113,0.9271469507072325,5
23,8.180133606922862,-3.349415038749162,3.3517773317876105,8
24,9.13304612120334,-3.918893057952094,3.739675793769727,8
25,8.086318356796657,-3.9486682809100055,2.823460472257301,10
26,7.940956379725861,-2.503857955340589,3.377813691597557,10
27,8.957216611056566,-3.775670519664975,1.514625255961382,13
28,8.213218835752084,-3.985149140502844,1.892149775382165,12
29,8.685763217452324,-3.1448443157156794,0.6068468696523088,7
30,8.969764076317809,-3.2470183670211146,0.3950617061515511,12
31,9.15370811468325,-3.346969059407212,3.3669574705192793,10
32,8.160656355273407,-4.75163060892668,3.066991217588954,5
33,7.855125103214657,-4.170170711786296,1.305167176669721,16
34,7.242996282802572,-4.4355302867164825,1.7982570186667024,13
35,6.884893601920901,-3.9784733629878595,2.3087521360702166,7
36,7.224870806002055,-4.803000286350517,1.7591208287998734,8
37,8.004091668164284,-4.364008509798525,2.1633357357281446,8
38,7.350218010333626,-4.205035476488904,3.481664138892482,8
39,7.350131356632938,-5.9664879120824645,2.613537614113148,6
40,6.843487658939255,-4.738222705616551,1.5172131979510883,7
41,7.274484693846427,-4.095865929622875,3.9315773758357873,5
42,8.98260316882015,-5.133596391160663,3.2569170704772628,6
43,8.048609749350755,-6.505402772987683,0.7147524601109962,8
44,8.009490607749397,-6.855679698758756,0.0065765504587709245,9
45,8.002737359632475,-6.862182819661969,2.774972380138235,14
46,9.064175730447438,-7.245421837325628,2.893179679040412,12
47,8.331338338724606,-8.125697179827675,3.544965784328518,2
48,8.981817335579215,-8.651903142496408,1.1237020227672692,6
49,8.593813056748568,-9.075169146018508,0.97962813006556,13
50,8.282527135825568,-8.934370849143685,3.638864068771504,10
51,6.478126807149897,-9.08032542390458,1.3571068097737018,16
52,6.066826465446977,-8.772343540966872,2.9955150143217297,6
53,5.634343196403735,-8.501184024271222,0.22002983425367761,18
54,5.542650197170442,-8.576803495543052,2.1817718441816263,11
55,5.776182075149507,-8.756394009056073,3.639447144997886,13
56,7.512266108728362,-8.093158766107699,2.436712551929532,10
57,7.935719168964706,-6.9137790979296625,1.1717949709648812,13
58,7.3579419374009785,-7.061569050496571,0.45429138543011227,13
59,7.4751454776106945,-7.261500534300955,1.1486856531923713,10
60,7.892612091400281,-7.659658248027348,1.3530620817270465,9
61,7.366153655687647,-8.110357398420312,0.9261292134012025,8
62,7.832517032546578,-8.084783458987896,0.7000953371519696,8
63,8.150059277168086,-8.239565926569767,2.2850822656530103,14
64,9.065414372033455,-7.51306919962688,3.306535904527551,9
65,7.537984070766022,-8.228873626690616,1.6079113539837953,8
66,8.340636845234645,-8.41869231074648,2.568921169321452,9
67,7.828279188733915,-7.212564584817058,3.403899610407489,16
68,8.604523096240067,-5.661716875873903,0.26607503184129383,18
69,8.682562889174964,-5.7664597934264155,0.5284576053283061,13
70,8.892565183949447,-5.605012071790789,1.9702584985316158,8
71,8.53665377925831,-5.686546992117531,0.09432311104996538,13
72,8.515734164704895,-5.66166872812506,3.7164704002201505,11
73,6.627234259760032,-5.499701771454719,3.222215223507154,16
74,8.099283712531763,-6.223941896072581,1.8852877825513255,8
75,7.13785500226579,-6.149341946451873,2.784623947273672,11
76,7.012939372645807,-4.733634858469587,3.893796869701729,6
